,model,family,size,tokens,flops,ifeval,bbh,math,mmlu-pro,gpqa,musr
2487,calme-2.2-llama3-70b,calme-2.2-llama3,70.0,15.0,6300.0,0.820848681498424,0.4857170594999846,0.24848942598187315,0.4674386820330969,0.12192393736017897,0.1530494791666667
2490,calme-2.2-qwen2-72b,calme-2.2-qwen2,72.0,7.0,3024.0,0.8008151704145002,0.5679594225047665,0.43429003021148044,0.4927415780141844,0.16554809843400445,0.16516927083333333
2491,calme-2.2-qwen2-7b,calme-2.2-qwen2,7.0,7.0,294.0,0.35972996094806226,0.3310936559556884,0.21148036253776437,0.32208554964539005,0.05480984340044745,0.13277864583333338
2494,calme-2.3-llama3-70b,calme-2.3-llama3,70.0,15.0,6300.0,0.8010401290797308,0.480085850617923,0.23791540785498488,0.46716164302600477,0.1174496644295302,0.12565625000000002
2497,calme-2.3-qwen2-72b,calme-2.3-qwen2,72.0,7.0,3024.0,0.38498406450440387,0.5122830430718469,0.16163141993957703,0.4909869976359338,0.1621923937360179,0.1123828125
2498,calme-2.3-qwen2-7b,calme-2.3-qwen2,7.0,7.0,294.0,0.3824862476008103,0.30956082115370953,0.20468277945619334,0.2901337174940898,0.06263982102908276,0.13313281249999998
2500,calme-2.4-llama3-70b,calme-2.4-llama3,70.0,15.0,6300.0,0.5027371817887649,0.48397766128206465,0.24546827794561935,0.46706929669030733,0.11968680089485462,0.13098958333333335
2501,calme-2.4-qwen2-7b,calme-2.4-qwen2,7.0,7.0,294.0,0.32995452067181746,0.318182656422348,0.2001510574018127,0.33076610520094557,0.044742729306487705,0.14426822916666668
2503,calme-2.5-qwen2-7b,calme-2.5-qwen2,7.0,7.0,294.0,0.31449221399220734,0.2828099517875505,0.22658610271903323,0.2979831560283688,0.0805369127516779,0.15791927083333335
2504,calme-2.6-qwen2-7b,calme-2.6-qwen2,7.0,7.0,294.0,0.34426765426845213,0.2930841923308876,0.12764350453172207,0.30352393617021284,0.04586129753915,0.16560156250000002
2505,calme-2.7-qwen2-7b,calme-2.7-qwen2,7.0,7.0,294.0,0.3592301759331906,0.28912244614673993,0.13746223564954685,0.30056885342789597,0.05480984340044745,0.19936718750000001
2672,luminia-13b-v3,luminia-v3,13.0,2.0,156.0,0.25231829323971505,0.17690523920374848,0.013595166163141994,0.13499187352245862,0.026845637583892648,0.08891666666666667
2782,hermes-2-pro-llama-3-8b,hermes-2-pro-llama-3,8.0,15.0,720.0,0.5361839918084017,0.30667993420825,0.06193353474320242,0.22798463356973994,0.057046979865771785,0.11246614583333335
2784,hermes-2-theta-llama-3-8b,hermes-2-theta-llama-3,8.0,15.0,720.0,0.6517883659800441,0.32046073848075834,0.09592145015105741,0.26316858747044913,0.07158836689038028,0.08361979166666669
3217,l3-pneuma-8b,l3-pneuma,8.0,15.0,720.0,0.24132745559559743,0.2816314211896266,0.052114803625377654,0.24174423758865246,0.09060402684563762,0.09181770833333333
3318,gemma-2-2b-opus-instruct,gemma-2-opus-instruct,2.0,8.0,96.0,0.474959773401242,0.19529532994538695,0.04758308157099698,0.183381353427896,0.044742729306487705,0.08577604166666665
3319,gemma-2-2b-stheno-filtered,gemma-2-stheno-filtered,2.0,8.0,96.0,0.41965540321901446,0.17478867238053378,0.04229607250755288,0.18107269503546097,0.026845637583892648,0.08103125000000003
3888,cosmosage-v3,cosmosage-v3,8.0,15.0,720.0,0.4482318027278731,0.22687105755012302,0.01812688821752266,0.1650967789598109,0.043624161073825496,0.10685677083333334
4122,einstein-v6.1-llama3-8b,einstein-v6.1-llama3,8.0,15.0,720.0,0.45682455883721856,0.2938377348658535,0.0649546827794562,0.23675753546099287,0.04250559284116329,0.1122682291666667
4125,einstein-v7-qwen2-7b,einstein-v7-qwen2,7.0,7.0,294.0,0.4099633417111043,0.3284181889691276,0.1654078549848943,0.3439716312056737,0.06599552572706939,0.140640625
4361,selm-llama-3-8b-instruct-iter-3,selm-llama-3-instruct-iter-3,8.0,15.0,720.0,0.6902817856620433,0.2907853088402274,0.06268882175226585,0.3092494089834515,0.011185682326621947,0.05497135416666667
4368,llama3-openbiollm-70b,llama3-openbiollm,70.0,15.0,6300.0,0.7596743307756753,0.47147074677167916,0.19864048338368578,0.4296690307328605,0.09731543624161071,0.14348177083333336
4780,magnum-72b-v1,magnum-v1,72.0,7.0,3024.0,0.7606484128778308,0.576531848551427,0.37688821752265866,0.4964354314420804,0.18791946308724836,0.156171875
4807,gemma-2b-orpo,gemma-orpo,2.0,6.0,72.0,0.24779695651981185,0.0794944502776896,0.012839879154078549,0.03396498226950354,0.015659955257270708,0.04128385416666667
4835,magnum-v1-72b,magnum-v1,72.0,7.0,3024.0,0.7606484128778308,0.576531848551427,0.37688821752265866,0.49846705082742315,0.18791946308724836,0.156171875
4837,magnum-v2-72b,magnum-v2,72.0,7.0,3024.0,0.7560273407891063,0.5785470432085098,0.34063444108761337,0.4951425827423168,0.18120805369127516,0.14181770833333332
4842,magnum-v3-9b-customgemma2,magnum-v3-customgemma2,9.0,13.0,702.0,0.1272955757390391,0.3411678334094384,0.06797583081570997,0.35606900118203305,0.1051454138702461,0.1505859375
5092,higgs-llama-3-70b,higgs-llama-3,70.0,15.0,6300.0,0.5560678998390935,0.45897405633960653,0.17371601208459217,0.43354757683215117,0.15548098434004473,0.15518750000000003
5167,yi-1.5-9b-chat-abliterated,yi-1.5-chat-abliterated,9.0,3.5,189.0,0.5723291976400395,0.3435218727198406,0.10800604229607252,0.30167700945626474,0.05592841163310966,0.13658072916666666
5361,dolphin-2.9-llama3-8b,dolphin-2.9-llama3,8.0,15.0,720.0,0.38503393218881454,0.27858929260905124,0.055891238670694864,0.1967715721040189,0.04921700223713646,0.13791406250000005
5362,dolphin-2.9.1-llama-3-70b,dolphin-2.9.1-llama-3,70.0,15.0,6300.0,0.37601674667659585,0.31101151872569244,0.05664652567975831,0.3477578309692671,0.07829977628635347,0.23695312499999996
5374,dolphin-2.9.4-gemma2-2b,dolphin-2.9.4-gemma2,2.0,8.0,96.0,0.08955127949396491,0.173676325443774,0.04682779456193354,0.1228021572104019,0.045861297539149914,0.10912760416666666
5695,gemma2-9b-it-psy10k-mental_health,gemma2-it-psy10k-mental_health,9.0,13.0,702.0,0.5886658510529839,0.3556600949863266,0.13746223564954685,0.3143284574468085,0.11633109619686799,0.093421875
5696,gemma2-9b-it-train6,gemma2-it-train6,9.0,13.0,702.0,0.7025215317579578,0.4098762530159646,0.09290030211480364,0.32688755910165485,0.1051454138702461,0.09652083333333338
5957,smollm-1.7b-instruct-ifeval,smollm-instruct-ifeval,1.7,1.0,10.2,0.23058595637353335,0.0450167515878636,0.0,0.017342641843971617,0.004474272930648763,0.01595052083333333
6081,gemma-2-2b-jpn-it,gemma-2-jpn-it,2.0,8.0,96.0,0.5288401441508531,0.17848086390818035,0.0,0.16297281323877066,0.03355704697986576,0.049283854166666675
6208,llama-3-instruct-8b-simpo,llama-3-instruct-simpo,8.0,15.0,720.0,0.7347449212533854,0.282263760762505,0.07779456193353475,0.3037086288416076,0.05369127516778524,0.03742187500000001
6995,qwen-las-v0.1,qwen-las-v0.1,4.0,2.4,57.6,0.3301041237250495,0.14698639898107368,0.02265861027190333,0.14727393617021275,0.0,0.0366171875
