,model,family,size,tokens,flops,arc,hellaswag,mmlu,truthfulqa,winogrande,gsm8k
125,qwen1.5-72b,qwen1.5,72.0,3.0,1296.0,0.658703071672355,0.8598884684325832,0.7720145830851977,0.596080564321232,0.8303078137332282,0.6573161485974223
126,qwen1.5-72b-chat,qwen1.5-chat,72.0,3.0,1296.0,0.6851999999999999,0.8642,0.7744,0.639,0.7908,0.2039
127,qwen1.5-7b,qwen1.5,7.0,4.0,168.0,0.5418088737201365,0.7851025692093209,0.6197002168140558,0.5108227702127015,0.712707182320442,0.535253980288097
128,qwen1.5-7b-chat,qwen1.5-chat,7.0,4.0,168.0,0.5589,0.7856000000000001,0.617,0.5365,0.6779999999999999,0.1319
129,qwen2-0.5b,qwen2,0.5,12.0,36.0,0.3191,0.4874,0.4517,0.3977,0.5579999999999999,0.3571
131,qwen2-1.5b,qwen2,1.5,7.0,63.0,0.4428,0.6667000000000001,0.5726,0.4592,0.6487999999999999,0.5579999999999999
133,qwen2-72b,qwen2,72.0,7.0,3024.0,0.6877,0.8726999999999999,0.8379000000000001,0.5474,0.8445,0.8529000000000001
135,qwen2-7b,qwen2,7.0,7.0,294.0,0.5972999999999999,0.7981999999999999,0.7045,0.5314,0.7434999999999999,0.7293000000000001
137,recurrentgemma-2b,recurrentgemma,2.0,2.0,24.0,0.4693,0.7248,0.3438,0.3500999999999999,0.6827,0.1568999999999999
138,recurrentgemma-2b-it,recurrentgemma-it,2.0,2.0,24.0,0.3097,0.5626,0.4086999999999999,0.4281,0.6417,0.1008
141,redpajama-incite-base-3b-v1,redpajama-incite-base-v1,3.0,0.8,14.4,0.401877133105802,0.647679745070703,0.2702787422464126,0.3323488684911484,0.6471981057616417,0.0128885519332827
142,redpajama-incite-base-7b-v0.1,redpajama-incite-base-v0.1,7.0,1.0,42.0,0.462457337883959,0.7162915753833897,0.2768214018695477,0.3303475420460559,0.6732438831886346,0.0159211523881728
143,rwkv-4-14b-pile,rwkv-4-pile,14.0,0.33,27.72,0.4445392491467577,0.7107149970125473,0.261243635346663,0.3204219399194067,0.654301499605367,0.0037907505686125
144,rwkv-4-169m-pile,rwkv-4-pile,0.169,0.33,0.33462,0.2363481228668942,0.3173670583549093,0.2317624001359681,0.4192323633446171,0.5090765588003157,0.0045489006823351
145,rwkv-4-1b5-pile,rwkv-4-pile,1.0,0.33,1.98,0.318259385665529,0.5225054769966142,0.2577446960818849,0.3579569610412708,0.5382794001578532,0.0
146,rwkv-4-3b-pile,rwkv-4-pile,3.0,0.33,5.94,0.3600682593856655,0.5965943039235212,0.2467087224756061,0.3213702262546504,0.5832675611681136,0.0068233510235026
147,rwkv-4-430m-pile,rwkv-4-pile,0.43,0.33,0.8514,0.2670648464163822,0.4001194981079466,0.2485496977528651,0.3958221882473183,0.5114443567482242,0.0037907505686125
148,rwkv-4-7b-pile,rwkv-4-pile,7.0,0.33,13.86,0.3967576791808874,0.663114917347142,0.2495936335118899,0.3365298312185615,0.6235201262825573,0.0075815011372251
149,sauerkrautlm-gemma-2b,sauerkrautlm-gemma,2.0,6.0,72.0,0.4871999999999999,0.7141,0.429,0.3577,0.6796,0.2676
150,sauerkrautlm-gemma-7b,sauerkrautlm-gemma,7.0,6.0,252.0,0.5998,0.8190999999999999,0.6376,0.61,0.7664,0.6368
157,stablelm-2-1_6b,stablelm-2-1_,6.0,2.0,72.0,0.4334470989761092,0.7045409281019717,0.3894657259915194,0.3678385823884172,0.6456195737963694,0.1743745261561789
158,stablelm-2-1_6b-chat,stablelm-2-1_-chat,6.0,2.0,72.0,0.4352,0.6923999999999999,0.4147,0.465,0.6472,0.3882
159,stablelm-base-alpha-3b,stablelm-base-alpha,3.0,1.5,27.0,0.2645051194539249,0.4224258115913165,0.2543052660318274,0.4049657855313842,0.5390686661404893,0.0045489006823351
160,stablelm-base-alpha-7b,stablelm-base-alpha,7.0,1.5,63.0,0.3199658703071672,0.5178251344353715,0.2620516094803125,0.4019376597227457,0.5540647198105761,0.0060652009097801
161,stablelm-base-alpha-7b-v2,stablelm-base-alpha-v2,7.0,1.1,46.2,0.4735494880546075,0.770762796255726,0.4509893993249705,0.3645720175160148,0.6850828729281768,0.0257771038665655
162,starcoder2-15b,starcoder2,15.0,4.3,387.0,0.4735494880546075,0.6409081856203943,0.5134583865906562,0.378734193251474,0.6385161799526441,0.5223654283548143
163,starcoder2-3b,starcoder2,3.0,3.3,59.4,0.3455631399317406,0.4761999601672974,0.3864860206508294,0.4048698237422491,0.5453827940015785,0.1963608794541319
164,starcoder2-7b,starcoder2,7.0,3.7,155.4,0.3831058020477815,0.5191196972714599,0.4121331864479663,0.4199349765667209,0.5919494869771112,0.2509476876421531
165,starcoderbase,starcoderbase,15.5,1.0,93.0,0.302901023890785,0.4721171081457876,0.3211709749222222,0.400215713503952,0.5580110497237569,0.0788476118271417
166,starcoderbase-1b,starcoderbase,1.0,1.0,6.0,0.2269624573378839,0.3430591515634336,0.266738815642615,0.4578928664903403,0.4996053670086819,0.0090978013646702
167,starcoderbase-3b,starcoderbase,3.0,1.0,18.0,0.2585324232081911,0.3910575582553276,0.2735280049306773,0.4305451198786013,0.5114443567482242,0.0174374526156178
168,starcoderbase-7b,starcoderbase,7.0,1.0,42.0,0.2986348122866894,0.4386576379207329,0.2844643845271117,0.4046263361255611,0.5438042620363063,0.0545868081880212
171,xglm-1.7b,xglm,1.7,0.5,5.1,0.2585324232081911,0.4567815176259709,0.2510041645690995,0.3720634151696304,0.5390686661404893,0.0075815011372251
172,xglm-4.5b,xglm,4.5,0.5,13.5,0.3148464163822526,0.5794662417845051,0.254299777191496,0.3583939485040638,0.5493291239147593,0.0022744503411675
173,xglm-564m,xglm,0.564,0.5,1.6919999999999995,0.2457337883959044,0.3464449312885879,0.2517966357007282,0.4043205877039627,0.5224940805051302,0.0022744503411675
174,xglm-7.5b,xglm,7.5,0.5,22.5,0.3412969283276451,0.6077474606652061,0.2778866807166943,0.3666152388235458,0.5872138910812944,0.0022744503411675
175,yi-1.5-34b,yi-1.5,34.0,3.5,714.0,0.6578,0.8611,0.78,0.5384,0.8406,0.7323999999999999
176,yi-1.5-34b-chat,yi-1.5-chat,34.0,3.5,714.0,0.7048000000000001,0.8597,0.7707999999999999,0.6215999999999999,0.8161,0.7165
177,yi-1.5-6b,yi-1.5,6.0,3.5,126.0,0.5725,0.7792,0.6473,0.4402,0.7514,0.5034000000000001
178,yi-1.5-6b-chat,yi-1.5-chat,6.0,3.5,126.0,0.6067,0.7887000000000001,0.6424,0.5257000000000001,0.7356,0.6709999999999999
179,yi-1.5-9b,yi-1.5,9.0,3.5,189.0,0.6186,0.8037000000000001,0.7073,0.4674,0.7798,0.627
180,yi-1.5-9b-chat,yi-1.5-chat,9.0,3.5,189.0,0.6365,0.8094,0.7101000000000001,0.5267000000000001,0.7719,0.7187
181,yi-34b,yi,34.0,3.0,612.0,0.6459044368600683,0.8569010157339175,0.7635156727391681,0.5623083932983032,0.8303078137332282,0.5064442759666414
182,yi-34b-200k,yi-200k,34.0,3.0,612.0,0.6578498293515358,0.8205536745668194,0.7556180045111563,0.4260214587740499,0.8287292817679558,0.3487490523123578
183,yi-34b-chat,yi-chat,34.0,3.0,612.0,0.6544,0.8416,0.7490000000000001,0.5537,0.8011,0.3192
184,yi-6b,yi,6.0,3.0,108.0,0.5554607508532423,0.7656841266679945,0.6410709139827397,0.4196160749943391,0.7419100236779794,0.1213040181956027
185,yi-6b-200k,yi-200k,6.0,3.0,108.0,0.5358361774744027,0.755825532762398,0.6464930135205713,0.4174259547682525,0.7426992896606156,0.3032600454890068
187,yi-9b,yi,9.0,3.8,205.2,0.6118,0.7881999999999999,0.7006,0.4245,0.7751,0.4897999999999999
383,meta-llama-3-8bee,meta-llama-3-ee,8.0,15.0,720.0,0.5861774744027304,0.8147779326827326,0.660129517443997,0.4289641772027726,0.771112865035517,0.39878695981804396
990,llama-3-8b-ita,llama-3-ita,8.0,15.0,720.0,0.7295221843003413,0.8907588129854611,0.6807648287525648,0.657869692446294,0.8018942383583267,0.6580742987111448
